,classe,a1_0,a1_1,a1_2,a2_0,a2_1,a2_2,a3_0,a3_1,a4_0,a4_1,a4_2,a5_0,a5_1,a5_2,a5_3,a6_0,a6_1
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0
2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
3,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
7,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
9,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
10,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
12,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
13,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
14,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
15,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
16,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
17,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
18,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
19,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
20,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
21,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
22,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
23,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
24,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
25,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
26,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
27,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0
28,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
29,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
30,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
31,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
32,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
33,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
34,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
35,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
36,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
37,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
38,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
39,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
40,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
41,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0
42,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1
43,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
